G1,G2,G3,G4,G5,G6,Key,Rounds,Effect distance,description,page,short_description,glyph_list,glyph_count,Spell Glyphs
Gonde,Gis,Eyama,,,,3 ∞,V 1,touch,"Makes an area of earth, rock or sand impervious to digging, chiselling, impact, lava or creatures which move through earth or stone. It can include stone or earth built buildings and walls. The defence may be created as a sphere of 1Sd radius per level of the caster. If cast from above ground it can be a hemisphere in the earth below. Alternatively the caster may choose to create a flat barrier 2Sd wide by 2Sd high per level of the caster. In both cases the barrier will be roughly 1Sd thick.",59,"Makes an area of earth, rock or sand impervious to digging, chiselling, impact, lava or creatures which move through earth or stone. It can include stone or earth built buildings and walls.",Gonde|Gis|Eyama,3,Gonde + Gis + Eyama
Gonde,Gis,Chom,,,,3,V 2,20Sd,"Will provide a triggered defence for the target from falling or thrown rocks. Should the target be about to be struck the spell will be triggered and the rock will be deflected and any other rocks for the following 6R. After the spell has been triggered it will need to be re-cast to regain its protection. Should the target be struck by many rocks, a cave-in or collapsing building they are still likely to survive within an air pocket beneath.",59,Will provide a triggered defence for the target from falling or thrown rocks.,Gonde|Gis|Chom,3,Gonde + Gis + Chom
Gonde,Eja,Chom,,,,3,V 2,self,This spell will hide any tracks made on the ground by the caster and other creatures travelling within a 4Sd range of them. It may also be used to hide tracks made by the caster before the spell was cast within the 4Sd radius.,59,This spell will hide any tracks made on the ground by the caster and other creatures travelling within a 4Sd range of them.,Gonde|Eja|Chom,3,Gonde + Eja + Chom
Gonde,Eja,Cya,,,,3,V 2,20Sd,"Enables the caster to create the illusion of stone, sand or earth over an area up to 4Sd across in all dimensions. The illusion will be a duplication of another area of earth, sand or stone within range of the spell as indicated by the caster during casting. The illusion will be convincingly three dimensional until walked through. It should be noted that if the illusion is of something made with stone blocks, the pattern will invariably fail to match up at the edges and the illusion will be less convincing as a result.",59,"Enables the caster to create the illusion of stone, sand or earth over an area up to 4Sd across in all dimensions.",Gonde|Eja|Cya,3,Gonde + Eja + Cya
Gonde,Hust,Shass,,,,3,12R see,spell,Allows the caster to hear footfalls or hoofbeats made upon the ground some considerable distance away. A range of 1 mille per level. The caster will gain a rough idea of direction as well as numbers and even type of animal. The caster must place their ear to the ground and make a listen roll to be able to interpret what they are hearing.,60,Allows the caster to hear footfalls or hoofbeats made upon the ground some considerable distance away. A range of 1 mille per level.,Gonde|Hust|Shass,3,Gonde + Hust + Shass
Gonde,Ghe,Eyama,,,,3,12R,touch,"Causes the ground at the caster’s feet to yield enough edible earthly food items to feed one person for one day. The feast may include uncooked mushrooms, root vegetables, insects, worms, rabbits or snakes, depending on the locality.",60,Causes the ground at the caster’s feet to yield enough edible earthly food items to feed one person for one day.,Gonde|Ghe|Eyama,3,Gonde + Ghe + Eyama
Gonde,Teshet,Cya,,,,3 ∞,V 1,20Sd,Will cause a 2Sd tall menhir to project from the ground where the caster indicates. The menhir will have a diameter of roughly 4Lk at its widest point and will weigh several tons. This menhir will remain quite solid for the duration of the spell but will become crumbly once the spell is ended. It will still amount to a substantial pile of gravel. The created projection may be used to block an opening and may even be caused to appear horizontally from a (rock or earthen) wall or face to provide a step up or small bridge.,60,Will cause a 2Sd tall menhir to project from the ground where the caster indicates. The menhir will have a diameter of roughly 4Lk at its widest point and will weigh several tons.,Gonde|Teshet|Cya,3,Gonde + Teshet + Cya
Gonde,Maef,Eyama,,,,3 ∞,V 2,20Sd,"This will cause a Lesser Earth elemental to manifest before the enchanter. The elemental will use any earth, rocks, soil, sand available in the locality to create its body. The manifestation will obey simple commands and perform tasks within its scope, such as: carrying objects or clearing rubble. The elemental may be ordered to attack, but will be dispelled as soon as its effective Hit Points reach 0. Such manifest elementals will not cross water nor leave the ground.",60,"This will cause a Lesser Earth elemental to manifest before the enchanter. The elemental will use any earth, rocks, soil, sand available in the locality to create its body.",Gonde|Maef|Eyama,3,Gonde + Maef + Eyama
Gonde,Maef,Gis,,,,3 ∞,12R,self,Will ward the caster from direct attacks by Gonde magic and earth spirits. The spell will give complete protection from any 3 glyph Gonde spells and attacks by manifest lesser earth spirits for the duration of the spell. It will protect from 4 glyph Gonde spells and attacks by standard earth elementals for 1R before being dispelled. It will be dispelled by any 5 glyph spells or earth drake attacks.,60,Will ward the caster from direct attacks by Gonde magic and earth spirits.,Gonde|Maef|Gis,3,Gonde + Maef + Gis
Gonde,Maef,Eja,,,,3,12R see,spell,"Enables the caster to scry a distant place using a polished crystal or gemstone. The crystal must be flawless and transparent although it does not matter if it is coloured. The caster must have a small sample of material from the area to be scried, a chip of stone or a pinch of dirt. The sample must be pushed and ground into the ground at the caster’s feet when casting the spell and is consumed by the earth in the process. The vision is from the nearest stone or earth and is often a worm’s eye view from the ground. No sound will be heard. The ranges for each level are as follows: level 1 1 mille level 2 5 mille level 3 25 mille level 4 100 mille level 5 unknown",61,Enables the caster to scry a distant place using a polished crystal or gemstone. The crystal must be flawless and transparent although it does not matter if it is coloured.,Gonde|Maef|Eja,3,Gonde + Maef + Eja
Gonde,Maef,Hust,,,,3,12R,touch,"Enables the caster to ‘hear’ the spirits of the earth. To do so the caster must put their ear to the ground or a rock face. Earth spirits are notoriously uncommunicative, but the caster may gain insights as to weather or not they are restless, angry or just quiet. The caster may also, if they are lucky pick up insights about large movements of men horses, mining or building that has been going on within a broad area about the caster. Sometimes earth spirits talk about earth shaping historical events in an area dating back hundreds, even thousands of years.",61,Enables the caster to ‘hear’ the spirits of the earth. To do so the caster must put their ear to the ground or a rock face.,Gonde|Maef|Hust,3,Gonde + Maef + Hust
Gonde,Ghan,Ylg,,,,3,instant,20Sd,"Will cause a volume of earth or stone, up to 1Sd across, to violently explode in a cloud of dust and sand leaving a permanent hole. Anyone stood within 1Sd will take 1D8 points of damage, and will automatically be knocked off their feet. Anyone within 2Sd will a suffer a knockback attack with a strength of 50 from the force of the explosion. Most spectators will probably believe it to be terrifying and will probably run or take cover accordingly. If cast upon a manifest earth spirit it will cause that creature 3D6 HP of physical damage. If cast on GONDE-NANU-Gis-CYA armour it will cause 1D8 damage and reduce the armour’s protection by that amount.",61,"Will cause a volume of earth or stone, up to 1Sd across, to violently explode in a cloud of dust and sand leaving a permanent hole.",Gonde|Ghan|Ylg,3,Gonde + Ghan + Ylg
Gonde,Ghan,Lerru,,,,3,V 1,self,"Enables earthly materials to be worked by hand. Sand may be built into cohesive structures 1-2Sd high without collapse. Stone or metal may be worked bent, pulled or pressed as if it was stiff clay. The softer and less dense the original material the easier it will be to alter and the larger the piece that can be worked. By the same token only small areas or pieces of strong or hard stone or metal can be worked. Thus a block of chalk or soapstone the size of a keg might be manipulated, while only a fist sized piece of cast bronze might be altered. When the spell ends the material will become as hard as it was originally. Sculpted sand may remain until disturbed, or simply collapse under its own weight.",61,Enables earthly materials to be worked by hand. Sand may be built into cohesive structures 1-2Sd high without collapse.,Gonde|Ghan|Lerru,3,Gonde + Ghan + Lerru
Gonde,Ghan,Chom,,,,3 ∞,V 1,20Sd,"This spell will act as a more effective form of GONDE-CHOM. It will stop a landslide that has already started, it will protect the caster from taking damage from a cave-in and stop the rocks from falling. It will also secure a much larger ceiling or floor area from collapse; up to 8Sd across.",62,This spell will act as a more effective form of GONDE-CHOM.,Gonde|Ghan|Chom,3,Gonde + Ghan + Chom
Gonde,Nanu,Gis,Cya,,,4,12R,touch,"Encases the caster in an articulated layer of stones earth and rock up to 1Lk thick. The armoured layer will halve the caster’s AG but will give them 10 points of armour protection against cutting and impaling attacks and 5 points against smashing attacks. The stone encasing will work with other, non-magically active, armour. It will provide protection from fire and heat damage up to a total of 50 points and will also afford the caster complete protection from Lightning damage. The caster will be able to see and breathe through a slit left for the eyes but their vision will be greatly reduced, causing all sight based skills including attack and parry to be halved. Whilst the character will not have to bear the weight of the rocky armour their effective weight and SIZ will increase hugely and checks should be made if they attempt to walk across any ground or floor that may be unable to bear the weight. Such armour cast by Prime level casters may appear as beautiful crystalline armour.",62,Encases the caster in an articulated layer of stones earth and rock up to 1Lk thick.,Gonde|Nanu|Gis|Cya,4,Gonde + Nanu + Gis + Cya
Gonde,Nanu,Ghan,Ix,,,4 ∞,1 day,touch,"For this spell to work the recipient must be placed in a specially prepared cavity or hole in the ground and interred there for at least a day. The spell will cure the recipient of a number of ailments such as bruising, sprains, broken bones, swelling, toothache, and wasting disease. If the recipient has suffered a loss to their STR attribute, this process will heal the attribute back to its normal level. If a cavity or hole is already created it will only take 1D6 minutes to prepare, with suitable chanting and marking the hole with the caster’s own hair, nail clippings or soil. The recipient is be placed in the cavity which should then be covered by a stone lid or filled in with earth. The recipient will not suffocate but may need to make an INTx3 roll to avoid panicking and attempting to exit, if they do so the cavity will need to prepared again and the spell re-cast. Even if a broken bone is not set correctly the recipient will emerge with the break healed correctly",62,For this spell to work the recipient must be placed in a specially prepared cavity or hole in the ground and interred there for at least a day.,Gonde|Nanu|Ghan|Ix,4,Gonde + Nanu + Ghan + Ix
Gonde,Nanu,Ghan,Lerru,,,4 ∞,12R,touch,"Enables the caster to turn a humanoid target, and their accoutrements, to stone. The caster may use the spell on themselves if desired. The target will maintain roughly their normal form, but chiselled and lumpen. Whilst in this form they will not be able to move. In this form will they be able to see, although they will be able to hear and feel hot or cold. They will not feel pain if struck and will take no damage from fire, lightning, liquid or gas whilst the spell is in effect. The recipient will have an effective skin armour of 15 points and a blow will need to exceed this to do any damage. NB a critical simply causes double damage, the critical tables cannot be used to ignore armour.",63,"Enables the caster to turn a humanoid target, and their accoutrements, to stone. The caster may use the spell on themselves if desired.",Gonde|Nanu|Ghan|Lerru,4,Gonde + Nanu + Ghan + Lerru
Gonde,Teshet,Ghan,Lerru,,,4 ∞,12R,touch,"Enables the caster to turn a non-magical object up to a 1Sd across to stone. The object will maintain roughly its normal form, but chiselled and lumpen. It will take no damage from normal fire, lightning or acid whilst the spell is in effect. The object will have an effective armour of 15 points and a blow will need to exceed this to do any damage. A critical simply causes double damage.",63,"Enables the caster to turn a non-magical object up to a 1Sd across to stone. The object will maintain roughly its normal form, but chiselled and lumpen.",Gonde|Teshet|Ghan|Lerru,4,Gonde + Teshet + Ghan + Lerru
Gonde,Teshet,Ghan,Chom,,,4,12R,20Sd,Protects the target object and its contents from the effects of earth tremors as well as deflecting avalanches or damage from stone projectiles. The spell will also protect from the physical results of attacks by earth elementals or GONDE spells that would otherwise cause damage. The spell will be effective on objects such as a large building or ship that would fit within the radius of the spell’s area of effect.,63,Protects the target object and its contents from the effects of earth tremors as well as deflecting avalanches or damage from stone projectiles.,Gonde|Teshet|Ghan|Chom,4,Gonde + Teshet + Ghan + Chom
Gonde,Ghan,Xama,Cya,,,4,1R,20Sd,"Sends out a visible shockwave travelling outwards through the ground in the direction the caster is facing. To activate this combination the caster must punch their fist on the ground. The shockwave will spread out in a rough fan shape spreading out and reducing in effect as it travels Depending on the range from the caster its effects are as follows: range 2Sd violently thrown into the air, 2D6 damage plus stun. 5Sd thrown off feet 1D6 damage. 10Sd knockback (STR50) 2Sd. 20Sd balance roll needed. The shockwave moves rapidly and will have dissipated by the end of the round. It can cause damage to structures within 20Sd Building protected by bloodsilver may be able to resist the effect. The shockwave may be felt up to a mille away.",63,Sends out a visible shockwave travelling outwards through the ground in the direction the caster is facing. To activate this combination the caster must punch their fist on the ground.,Gonde|Ghan|Xama|Cya,4,Gonde + Ghan + Xama + Cya
Gonde,Ghan,Xama,Eyama,,,4 ∞,12R,20Sd,"Causes long crystalline spikes to randomly erupt from the ground anywhere within a 20Sd radius of the point of casting. The chances of anyone within the area being hit by such a spike is 10% on any given round Anyone hit by a spike will suffer 1D10 damage The erupting spikes may be dodged or parried like a weapon attack, they are brittle and may be snapped or smashed. With the exception of the caster, the spikes are indiscriminate, harming both friend and foe alike. While the spell is active the crystalline spikes will remain where they appeared and will still cause damage to anyone else stumbling into them. Once the spell ends the spikes will lose much of their strength and will easily shatter or collapse under their own weight. The crystals may also dissolve in water or rain.",64,Causes long crystalline spikes to randomly erupt from the ground anywhere within a 20Sd radius of the point of casting.,Gonde|Ghan|Xama|Eyama,4,Gonde + Ghan + Xama + Eyama
Gonde,Ghan,Gis,Eyama,,,4 ∞,V 1,20Sd,"Causes a steep dyke, of earth, stones or sand etc. to be thrown up anywhere the caster indicates within range of the spell. The dyke will have a steep side facing away from the caster and a sloping side facing towards them. The dyke will be roughly 2Sd deep, 1Sd high, and 2Sd in length for each level of the caster, and for each further casting another such dyke may be added to the existing one. The dyke rises rapidly from the ground and any individual stood upon the affected area must make an AGx2 roll or fall over. When the spell ends the dyke will slowly sink back into the ground over the course of 1R.",64,"Causes a steep dyke, of earth, stones or sand etc. to be thrown up anywhere the caster indicates within range of the spell.",Gonde|Ghan|Gis|Eyama,4,Gonde + Ghan + Gis + Eyama
Gonde,Ghan,Casan,Cya,,,4,12R see,spell,Creates a 1Sd wide by 2Sd high tunnel the ground in a sandy or earthern bank where indicated by the caster. The tunnel will extend for up to 1Sd per level of the caster. If cast upon a solid rock face the tunnel will only be 1Sd high and extend for 1Lk per level of the caster. The effect on the walls of buildings is often less successful –many are built with blood silver pins mixed into the mortar. . Once the spell is finished the waters will crash back into the space stunning anyone unlucky enough to remain within.,64,Creates a 1Sd wide by 2Sd high tunnel the ground in a sandy or earthern bank where indicated by the caster. The tunnel will extend for up to 1Sd per level of the caster.,Gonde|Ghan|Casan|Cya,4,Gonde + Ghan + Casan + Cya
Gonde,Maef,Eyama,Chom,,,4,instant,20Sd,Dismisses a manifest lesser earth elemental (GONDE MEAF EYAMA). If cast upon a standard earth elemental (GONDE MEAF GHAN EYAMA) it will keep it at bay for 6R. If cast at an earth drake it will keep it at bay for 1R (ie it will not attack the caster and remain some 10Sd distant).,64,Dismisses a manifest lesser earth elemental (GONDE MEAF EYAMA). If cast upon a standard earth elemental (GONDE MEAF GHAN EYAMA) it will keep it at bay for 6R.,Gonde|Maef|Eyama|Chom,4,Gonde + Maef + Eyama + Chom
Gonde,Maef,Gis,Cya,,,4,12R,20Sd,"Wards an area of 20Sd radius about the caster from direct attacks by GONDE magic and earth spirits. The spell will give complete protection from any 4 symbol GONDE spells and attacks by manifest greater earth elementals for the duration of the spell. It will protect from 5 symbol GONDE spells and attacks by earth drakes for 1R before being dispelled. If the caster moves, the area protected will move with them.",65,Wards an area of 20Sd radius about the caster from direct attacks by GONDE magic and earth spirits.,Gonde|Maef|Gis|Cya,4,Gonde + Maef + Gis + Cya
Gonde,Maef,Ghan,Eyama,,,4 ∞,V 1,20Sd,"Causes an Earth spirit to manifest before the caster. It will appear as a vaguely humanoid figure composed of stone, earth, soil or sand depending upon the materials available. The spirit may be asked by the caster to attack a foe. It will not pursue a fleeing opponent, nor will it continue to attack someone lying unmoving upon the ground unless specifically ordered to by the caster. Once it has dealt with a task allotted to it the elemental spirit will stop moving until given another task. Such spirits will not cross water nor leave the ground.",65,"Causes an Earth spirit to manifest before the caster. It will appear as a vaguely humanoid figure composed of stone, earth, soil or sand depending upon the materials available.",Gonde|Maef|Ghan|Eyama,4,Gonde + Maef + Ghan + Eyama
Gonde,Nanu,Ghan,Lerru,Evu,,5,V 1,self,"Turns the caster to a pile of free flowing sand, soil or gravel and allow them to move across the floor in any direction they choose. They may even flow up low steps or other obstacles. They may move at 8Sd each round across a level surface, and 4Sd each round uphill. The caster may see but cannot cast spells in this form. In this form the caster will take no damage when struck by a weapon and may re-form if broken up in some way (If allowed to). The sand may flow through small cracks or holes provided that they can get all of their material through before the spell ends. This may take 1D10+4 rounds to complete depending upon the size of holes the sand is flowing through. On the round that the spell ends the caster will re-form into their normal shape.",65,"Turns the caster to a pile of free flowing sand, soil or gravel and allow them to move across the floor in any direction they choose. They may even flow up low steps or other obstacles.",Gonde|Nanu|Ghan|Lerru|Evu,5,Gonde + Nanu + Ghan + Lerru + Evu
Gonde,Nanu,Maef,Gis,Cya,,5,V2,touch,"Causes the recipient to become a sentinel, warding an area of 20Sd radius about them from direct attacks by GONDE magic and earth spirits. The sentinel will give complete protection from any 5 symbol GONDE spells and attacks by manifest earth drakes for the duration of the spell. If the sentinel is killed then the spell will cease to function. Having their body imbued with such power for such a period of time has its cost. The skin of the sentinel will appear to crust over with a calcified layer continually crumbling as they move. This will slowly reduce their AG(DEX) by roughly 2 points per hour over the course of the spell. It will concurrently increase their skin armour by 1 point each time. Once the sentinel’s AG is reduced to 0 they will be locked in position like a statue. When the spell ends the calcified layer will begin to crumble away and their AG(DEX) will start to recover at a rate of 1 point each hour.",65,"Causes the recipient to become a sentinel, warding an area of 20Sd radius about them from direct attacks by GONDE magic and earth spirits.",Gonde|Nanu|Maef|Gis|Cya,5,Gonde + Nanu + Maef + Gis + Cya
Gonde,Teshet,Maef,Gis,Cya,,5 ∞,V2,touch,"Causes the target object to become a sentinel, warding an area of 20Sd radius about it from direct attacks by GONDE magic and earth spirits. The sentinel will give complete protection from any 5 symbol GONDE spells and attacks by manifest earth drakes for the duration of the spell. Statues or carved stones can often be found on the walls of ancient buildings or cities to be used for this purpose.",66,"Causes the target object to become a sentinel, warding an area of 20Sd radius about it from direct attacks by GONDE magic and earth spirits.",Gonde|Teshet|Maef|Gis|Cya,5,Gonde + Teshet + Maef + Gis + Cya
Gonde,Ghan,Xama,Eyama,Evu,,5 ∞,V 2 see,spell,"Causes long crystalline spikes to randomly erupt from the ground in a ring around the point of casting. Initially the ring will be in a 40Sd radius circle about of the point of casting. But the caster may push the width of the whole ring outwards creating an unaffected area in the centre. Doing this will reduce the width of the band of affected ground at the same time. Thus if the ring is pushed out to a 50Sd radius, a 20Sd radius unaffected area could be made in the centre but the width of the affected band would have been reduced to just 30Sd The chances of anyone within the area being hit by such a spike is 10% on any given round. Anyone hit by a spike will suffer 1D10 damage. The erupting spikes may be dodged or parried like a weapon attack, they are brittle and may be snapped or smashed. With the exception of the caster, the spikes are indiscriminate, harming both friend and foe alike. While the spell is active the crystalline spikes will remain where they appeared and will still cause damage to anyone else stumbling into them. Once the spell ends the spikes will lose much of their strength and will easily shatter or collapse under their own weight. The crystals may also dissolve in water or rain.",66,Causes long crystalline spikes to randomly erupt from the ground in a ring around the point of casting. Initially the ring will be in a 40Sd radius circle about of the point of casting.,Gonde|Ghan|Xama|Eyama|Evu,5,Gonde + Ghan + Xama + Eyama + Evu
Gonde,Maef,Ghan,Eyama,Chom,,6,instant,20Sd,Dismisses a lesser (GONDE MEAF EYAMA) or standard (GONDE MEAF GHAN EYAMA) earth elemental. If cast at an earth drake (GONDE MEAF GHAN OVET EYAMA) it will keep it at bay for 6R (ie it will not attack the caster directly and will remain some 10Sd distant).,66,Dismisses a lesser (GONDE MEAF EYAMA) or standard (GONDE MEAF GHAN EYAMA) earth elemental.,Gonde|Maef|Ghan|Eyama|Chom,5,Gonde + Maef + Ghan + Eyama + Chom
Gonde,Maef,Ghan,Ovet,Evu,,5 ∞,12R,20Sd,"Summons a high earth spirit which will flow through the ground in the form of the great earth drake. The Serpent may be asked by the caster to attack a foe. It will not pursue a fleeing opponent, nor will it continue to attack someone lying unmoving upon the ground unless specifically ordered to by the caster. Such spirits will not cross water nor leave the ground.",67,Summons a high earth spirit which will flow through the ground in the form of the great earth drake. The Serpent may be asked by the caster to attack a foe.,Gonde|Maef|Ghan|Ovet|Evu,5,Gonde + Maef + Ghan + Ovet + Evu
Gonde,Maef,Ghan,Ovet,Eyama,Chom,6,instant,20Sd,"Dismisses a lesser, standard or high earth elemental spirit. ",67,"Dismisses a lesser, standard or high earth elemental spirit.",Gonde|Maef|Ghan|Ovet|Eyama|Chom,6,Gonde + Maef + Ghan + Ovet + Eyama + Chom
Lucha,Evu,,,,,1 ∞,V 2,self,Allows the caster to keep cool in hot conditions. It will also halve the amount of water they would normally need while the spell is in effect.,69,Allows the caster to keep cool in hot conditions. It will also halve the amount of water they would normally need while the spell is in effect.,Lucha|Evu,2,Lucha + Evu
Lucha,Sen,,,,,1 ∞,v2,self,Protects the caster and their accoutrements from normal to heavy rain as well as splashes from other liquids. The water will simply run off like droplets from the back of a duck.,69,Protects the caster and their accoutrements from normal to heavy rain as well as splashes from other liquids. The water will simply run off like droplets from the back of a duck.,Lucha|Sen,2,Lucha + Sen
Lucha,Lerru,,,,,2,V 1,touch,"Changes approximately 1 skinfull of water into a mild ale, for the duration of the spell. Once the spell is ended the liquid will change back into water, even if it has been consumed. The caster may also choose to cancel the spell at any time whilst it is running to the same effect.",69,"Changes approximately 1 skinfull of water into a mild ale, for the duration of the spell. Once the spell is ended the liquid will change back into water, even if it has been consumed.",Lucha|Lerru,2,Lucha + Lerru
Lucha,Cya,,,,,2,instant,20Sd,"Creates about a 1 skin of water in any given container which the caster indicates. There need not be a source of water nearby. The water is pure and refreshing and will supply the needs of one individual for one day. If desired (and sometimes when not desired), the spell will also create water outside a container, above someone’s head, or even over a fire.",69,Creates about a 1 skin of water in any given container which the caster indicates. There need not be a source of water nearby.,Lucha|Cya,2,Lucha + Cya
Lucha,Chom,,,,,2 ∞,V 2,20Sd,"Protects the caster and their accoutrements from rain and splashes of other liquid, preventing any from even landing upon them. The caster could be completely submerged and their accoutrements and goods (even food or paper) will remain quite dry for the duration of the spell. This spell will also protect against damage caused by acid. It will help protect the caster against drowning if they are sufficiently buoyant, but if they sink they will suffocate instead.",69,"Protects the caster and their accoutrements from rain and splashes of other liquid, preventing any from even landing upon them.",Lucha|Chom,2,Lucha + Chom
Lucha,Shass,,,,,2,instant see,spell,"Allows the caster to detect the presence of water, above ground, or below it, within range of the spell. The elemental spiritis will give the caster a ‘feeling’ of distance and direction for the water. The spell will not tell the caster if the water is drinkable or not. The ranges for each level are as follows: Level 1up to 20Sd Level 2up to 100Sd Level 3up to 500Sd Level 4up to 3 mille Level 5up to 10 mille",69,"Allows the caster to detect the presence of water, above ground, or below it, within range of the spell.",Lucha|Shass,2,Lucha + Shass
Lucha,Eyama,,,,,2,V 2,20Sd,"Summons a blob of water to obey simple instructions by the caster. The spell must be cast with some water or any other liquid (including acid or oil) in range, even just a skinfull. On land, the blob will move as a puddle up to 4Sd per round. On water, it will appear as a ripple and can flow at up to 10Sd per round. Surprisingly, the water may also flow up walls and across the ceiling at a rate of 1Sd per round. On land it may also be asked to carry any small item which would normally float. On water it may gently push small floating objects. The liquid can be ordered to attempt to soak someone (as an attack at 50%)though the blob will be dissipated in the process.",70,"Summons a blob of water to obey simple instructions by the caster. The spell must be cast with some water or any other liquid (including acid or oil) in range, even just a skinfull.",Lucha|Eyama,2,Lucha + Eyama
Lucha,Tira,,,,,2,V 1,20Sd,"Sets the current or resistance of the water against a swimming or floating target. If the target is a person, then their Key must first be overcome in a Key vs Key struggle. The effect is subtle, but the target’s Move in the water will slow by 1D4+2 points. A swimmer will find they will tire sooner than expected. This spell will work on a target up to the size of a small fishing boat.",70,"Sets the current or resistance of the water against a swimming or floating target. If the target is a person, then their Key must first be overcome in a Key vs Key struggle.",Lucha|Tira,2,Lucha + Tira
Lucha,Ekat,,,,,2,V 1,20Sd,"Causes the currents in the water to help pull the target along. If the target is unwilling, then their Key must first be overcome by the caster. The effect will increase the target’s Move in water by 1D4+2. A swimmer will find they can continue for longer before tiring. This spell will also push a small rowing boat or small fishing skiff through the water at normal speed.",70,"Causes the currents in the water to help pull the target along. If the target is unwilling, then their Key must first be overcome by the caster.",Lucha|Ekat,2,Lucha + Ekat
Lucha,Worav,,,,,2,V 1,self,"Enables the caster to share the powers of the waves giving them +2AG and +2STR when in the water. It will also give the caster +50% on their swim skill – a non-swimmer will gain a skill of 50% as a result. The caster must be actually floating in water to gain these powers, it is not enough to simply paddle in a bucket.",70,Enables the caster to share the powers of the waves giving them +2AG and +2STR when in the water.,Lucha|Worav,2,Lucha + Worav
Lucha,Xama,,,,,2,12R,touch,"Causes a weapon which the caster touches to run with water for the duration of the spell, This will continually wash the weapon whilst in effect. It may also be used if cast upon an opponents weapon to remove a poison coating. The water is often salt water and will cause opponents armour and weapons to rust by the next day unless cleaned.",70,"Causes a weapon which the caster touches to run with water for the duration of the spell, This will continually wash the weapon whilst in effect.",Lucha|Xama,2,Lucha + Xama
Lucha,Gis,,,,,2,V 2,self,Causes the caster to exude a thick layer of watery slime from all over their body. The slime will find its way through porus clothing or squeeze out around less permeable items. Though disgusting to view the slime will protect the caster from touch based magic and attacks. It will also give protection of up to 5 points each round against fire and heat. It will also prevent bites and stings from small insects while the spell is running.,71,Causes the caster to exude a thick layer of watery slime from all over their body. The slime will find its way through porus clothing or squeeze out around less permeable items.,Lucha|Gis,2,Lucha + Gis
Lucha,Eja,,,,,2,V 2,self,"Enables the caster to see clearly when below water as if in air, as far as visibility will permit.",71,"Enables the caster to see clearly when below water as if in air, as far as visibility will permit.",Lucha|Eja,2,Lucha + Eja
Lucha,Ylg,,,,,2,instant,20Sd,"Violently vaporises about a skin-full of water or other liquid. Whilst the explosion will not harm anyone it will certainly be surprising and anyone within 1Sd should attempt to roll for stun. The spell will have no effect on normal living creatures, but will cause 2D6 points of damage to the physical form of a manifest water spirit.",71,Violently vaporises about a skin-full of water or other liquid. Whilst the explosion will not harm anyone it will certainly be surprising and anyone within 1Sd should attempt to roll for stun.,Lucha|Ylg,2,Lucha + Ylg
Lucha,Lerru,Evu,,,,3,V 2,touch,Changes approximately 1 skin-full of water into a potent liquor. Once the spell is ended the liquor will return to being water even if it has been consumed. The caster may also choose to cancel the spell at any time whilst it is running to the same effect. The spirit produced will not burn on contact with flame.,71,Changes approximately 1 skin-full of water into a potent liquor. Once the spell is ended the liquor will return to being water even if it has been consumed.,Lucha|Lerru|Evu,3,Lucha + Lerru + Evu
Lucha,Lerru,Sen,,,,3,V 2,touch,Neutralises the alcohol in 1 skin-full of liquor or up to a barrel of beer. Once the spell is ended the alcohol will return to its former strength. If it has been consumed it will not.,71,Neutralises the alcohol in 1 skin-full of liquor or up to a barrel of beer. Once the spell is ended the alcohol will return to its former strength.,Lucha|Lerru|Sen,3,Lucha + Lerru + Sen
Lucha,Cya,Evu,,,,3,1R,touch,Creates a floating sphere of water emanating from the caster’s hand. The sphere will be roughly 1Lk diameter per level of the caster. Thus at level 4 an enchanter could create a volume of water 4Lk across. The volume will remain floating for the round it takes to form after which it will drop onto or into whatever is below it. The water will be pure and drinkable.,71,Creates a floating sphere of water emanating from the caster’s hand. The sphere will be roughly 1Lk diameter per level of the caster.,Lucha|Cya|Evu,3,Lucha + Cya + Evu
Lucha,Worav,Evu,,,,3,V 1,touch,Gives the recipient the ability to swim like a dolphin. at double normal speed on or under the water. The spell increases the swimmer’s speed to double their normal Move in water and increases their AG and STR by +4 The spell will also enable the caster to only suffer half damage when falling into water from a height.,72,Gives the recipient the ability to swim like a dolphin. at double normal speed on or under the water.,Lucha|Worav|Evu,3,Lucha + Worav + Evu
Lucha,Xama,Lerru,,,,3,12R,touch,"Causes a weapon which the caster is holding to gush water for the duration of the spell. Each time the caster hits an opponent they may make a knockback attack with a strength of 50 on top of their normal damage due to the force of water slamming into the opponent. If the caster lets go of the weapon the water will stop flowing. It should be noted that both caster and anyone within 10Sd are liable to get very wet whilst this spell is in operation. This spell will only work in areas where water is in plentiful supply, if cast in a desert for example the weapon will barely “sweat”.",72,Causes a weapon which the caster is holding to gush water for the duration of the spell.,Lucha|Xama|Lerru,3,Lucha + Xama + Lerru
